"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"""
"Antigua and Barbuda,""ATG"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.4807009398937"",""5.2803039550781"",""5.4264716804028"",""5.8121733367443"",""5.2579272538424"",""4.9707494676113"",""4.6692240983248"",""4.7082465142012"",""4.3931022286415"",""4.3979447335005"",""5.1870968192816"",""5.2960157394409"",""5.1910605281591"",""5.4170910269022"",""5.2524551749229"",""4.70175370574"",""4.3572962284088"",""4.5335318893194"","""","""""
"Australia,""AUS"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""7.6138727366924"",""7.6963119208813"",""7.8932583332062"",""7.9044081270695"",""8.1095926463604"",""7.9901196062565"",""7.989377528429"",""8.0675832927227"",""8.2558020949364"",""8.5632219910622"",""8.4308438003063"",""8.5415199398994"",""8.6756996810436"",""8.7585598230362"",""9.0380340814591"",""9.3147397041321"",""9.1960839927197"",""9.2059478163719"","""","""""
"Austria,""AUT"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""9.203714132309"",""9.2694289982319"",""9.3947649002075"",""9.5472395420074"",""9.7093984484672"",""9.627029299736"",""9.531132876873"",""9.5320969820023"",""9.725645929575"",""10.22582501173"",""10.221018642187"",""10.026133060455"",""10.199155658483"",""10.285749286413"",""10.368092358112"",""10.36778986454"",""10.419169813395"",""10.396616905928"","""","""""
"Azerbaijan,""AZE"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.8936831057072"",""3.670459240675"",""3.6848600953817"",""5.9456743299961"",""7.1947820484638"",""7.4352532625198"",""5.7613540440798"",""4.6637427061796"",""4.0523450821638"",""5.2023090422153"",""4.7677550464869"",""4.5081526041031"",""4.9017746001482"",""5.0541367381811"",""5.4677441716194"",""6.7139521241188"",""6.6631346940994"",""6.6518291831016"","""","""""
"Burundi,""BDI"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""6.1769716441631"",""6.4048439264298"",""6.472160667181"",""6.3132770359516"",""7.7010415494442"",""8.423712849617"",""9.9423229694367"",""10.580819100142"",""9.2354223132134"",""10.35021841526"",""11.276375502348"",""10.069977492094"",""8.5266843438148"",""8.1425555050373"",""6.8892769515514"",""6.5785691142082"",""7.4921607971191"",""7.5175702571869"","""","""""
"Belgium,""BEL"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""7.9420037567616"",""8.1053197383881"",""8.263498544693"",""9.105971455574"",""9.1250464320183"",""9.0069755911827"",""8.9120835065842"",""8.948877453804"",""9.3367926776409"",""10.135038942099"",""9.9747329950333"",""10.136655718088"",""10.265778005123"",""10.369659215212"",""10.414495319128"",""10.280132293701"",""10.30445471406"",""10.338669270277"","""","""""
"Benin,""BEN"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.2300082743168"",""4.4253803789616"",""4.1532322764397"",""4.147832468152"",""4.1994489729404"",""4.0127161890268"",""4.0595449507236"",""3.9519734680653"",""3.6834541708231"",""3.856747969985"",""4.089805111289"",""4.2219832539558"",""4.6664405614138"",""3.9067044854164"",""3.6455065011978"",""3.9918195456266"",""3.855612501502"",""3.7185821682215"","""","""""
"Burkina Faso,""BFA"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.3175237476826"",""3.2489843666554"",""3.3405832946301"",""3.5362418740988"",""4.7446604818106"",""4.4425558298826"",""5.0915140658617"",""5.8863710612059"",""5.2273873239756"",""5.7152666151524"",""5.8929596096277"",""5.2297327667475"",""5.1779687404633"",""6.2564857304096"",""5.6249160319567"",""5.825300514698"",""7.0131242275238"",""6.9150596857071"","""","""""
"Bangladesh,""BGD"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.0019467920065"",""1.9867446273565"",""2.1519012749195"",""2.1915046498179"",""2.2140493616462"",""2.275463566184"",""2.3220121860504"",""2.3876920342445"",""2.3459570482373"",""2.4033831432462"",""2.4959150701761"",""2.5659374892712"",""2.5730110704899"",""2.5033475831151"",""2.4960111826658"",""2.4631146341562"",""2.3117799311876"",""2.2742487490177"","""","""""
"Bulgaria,""BGR"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""5.8708526194096"",""6.9121651351452"",""7.1359694004059"",""7.2555609047413"",""6.9439813494682"",""6.9442003965378"",""6.5731793642044"",""6.1594761908054"",""6.2906831502914"",""6.613452732563"",""7.105814665556"",""7.1348085999489"",""7.5943939387798"",""7.8682266175747"",""8.4987558424473"",""8.2027316093445"",""8.2301072776318"",""8.0956034362316"","""","""""
"Bahrain,""BHR"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.5613261163235"",""3.6810420453548"",""3.8548655807972"",""3.9885688573122"",""3.4733816981316"",""3.1756162643433"",""3.0624892562628"",""3.3037330955267"",""3.2851040363312"",""4.0568463504314"",""3.8429148495197"",""3.5769131034613"",""4.1064262390137"",""4.3107397854328"",""4.4068183749914"",""4.9750663340092"",""4.8582304269075"",""4.7481048852205"","""","""""
"Bahamas, The,""BHS"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.0338657796383"",""4.0124908089638"",""4.1514694690704"",""4.3563134968281"",""4.6612367033958"",""4.6508640050888"",""5.3888659924269"",""5.5287182331085"",""5.7917799800634"",""5.9366054832935"",""5.9242524206638"",""6.0488380491734"",""6.0476794838905"",""6.0246728360653"",""5.891465768218"",""5.7143855839968"",""6.0714118182659"",""5.7588890194893"","""","""""
"Bosnia and Herzegovina,""BIH"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""7.6659351587295"",""7.2888784110546"",""7.1376569569111"",""8.0437704920769"",""9.0627022087574"",""9.052237123251"",""9.1721870005131"",""9.5306016504765"",""9.6894390881062"",""9.0221211314201"",""9.0188823640346"",""9.1785602271557"",""9.4900153577328"",""9.486897289753"",""9.4751685857773"",""9.3395367264748"",""9.2278622090816"",""8.9316673576832"","""","""""
"Belarus,""BLR"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""5.4667610675097"",""5.9044200927019"",""5.814753472805"",""5.9671148657799"",""5.9321966022253"",""6.2765382230282"",""5.7629585266113"",""5.8853402733803"",""5.4728142917156"",""5.390378460288"",""5.6569401174784"",""4.8743855208159"",""5.2453268319368"",""5.6955948472023"",""5.3879335522652"",""6.0653332620859"",""5.9105414897203"",""5.9257857501507"","""","""""
"Belize,""BLZ"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.1409038007259"",""4.7009687870741"",""4.4997785240412"",""4.7601837664843"",""4.561585560441"",""4.6858336776495"",""4.6020437031984"",""5.0422240048647"",""5.0642315298319"",""5.7969659566879"",""5.7644303888083"",""5.6343972682953"",""5.3718131035566"",""5.6977692991495"",""5.6739322841168"",""5.9032086282969"",""6.0969762504101"",""5.6428227573633"","""","""""
"Bermuda,""BMU"",""Current health expenditure (% of GDP)"",""SH.XPD.CHEX.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
